,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
"take, begin, be hanging",1,"掛かる
かかる",kakaru,,,,,,,,

"take, steal",1,"取る
とる",toru,,,,,,,,

"talk back, retort",1,"言い換える
いいかえる",iikaesu,,,,,,,,

"teach, show",2,教える,oshieru,,,,,,,,

"tear, break, defeat",1,,yaburu,,,,,,,,

"tease, make fun of",1,"冷やかす
ひやかす",hiyakasu,,,,,,,,

"tell off, caution",2,"戒める
いましめる",imashimeru,,,,,,,,

"temper, refine, kneed",1,"練る
ねる",neru,,,,,,,,

"test, try, taste",1,"試す
ためす",tamesu,,,,,,,,

think,1,"思う
おもう",omou,,,,,,,,

think,2,"考える
かんがえる",kangaeru,,,,,,,,

Think of / come into your mind,1,思いつく,omoitsuku,,,,,,,,

throw away,2,"投げる
なげる",nageru,,,,,,,,

throw away,2,"捨てる
すてる",suteru,,,,,,,,

"tie up, bind",1,"縛る
しばる",shibaru,,,,,,,,

"tie, knot, make a contract",1,"結ぶ
むすぶ",musubu,,,,,,,,

